"offer_id","vendor_code","decision","product_id","comment"
"159969142791","p0066","link","398",""
"781261579961","p0086","link","402",""
"529262982831","p0118","link","162",""
"303887096421","p0119","link","403",""
"184048565341","p0117","link","401",""
"529250837671","p0171","link","400",""
"247032398971","p0193","link","399",""
"802949966802","p0469","link","391",""
"260839942382","p0472","link","393",""
"250982678012","p0471","link","382",""
"323525219372","p0470","link","384",""
"152791690452","p0473","link","386",""
"106575480722","p0475","link","390",""
"285856320272","p0477","link","383",""
"885837325432","p0478","link","392",""
"827015946062","p0476","link","385",""
"999716935512","p0474","link","389",""
"542228041302","p0453","link","381",""
"174148296822","p0479","link","387",""
"480639999022","p0371","link","368",""
"557068942892","p0372","link","379",""
"943520072271","p0199","create","",""
"287954247021","p0198","link","371",""
"177332427821","p0048","link","3",""
"281328483001","p0001","link","156",""
"759176430492","p0467","link","396",""
"265911891412","p0503","link","397",""
"879460503631","p0054","link","5",""
"148240040581","p0163","create","",""
"378643893061","p0194","link","406",""
"536608417261","p0120","link","419",""
"767630846921","p0089","link","411",""
"270117241961","p0081","link","413",""
"874027588211","p0072","link","415",""
"455996104031","p0019","link","408",""
"882368160511","p0164","create","",""
"242041970201","p0121","link","433",""
"687655968821","p0195","link","417",""
"431034377611","p0082","link","423",""
"318360109001","p0073","link","2",""
"275776458361","p0090","link","426",""
"934678955712","p0426","link","434","Исправлено после проверки полного совпадения названия"
"266235439432","p0428","link","418","Исправлено после проверки полного совпадения названия"
"734380346152","p0429","link","424","Исправлено после проверки полного совпадения названия"
"126352500642","p0427","link","425","Исправлено после проверки полного совпадения названия"
"725782353622","p0425","link","427","Исправлено после проверки полного совпадения названия"
"896756163732","p0431","link","409","Исправлено после проверки полного совпадения названия"
"449610110132","p0430","link","416",""
"219734150382","p0424","link","404","Исправлено после проверки полного совпадения названия"
"548465400342","p0421","link","407","Исправлено после проверки полного совпадения названия"
"902062698072","p0419","link","420","Исправлено после проверки полного совпадения названия"
"355603899092","p0418","link","412","Исправлено после проверки полного совпадения названия"
"592694955512","p0422","link","414","Исправлено после проверки полного совпадения названия"
"110627531562","p0420","create","",""
"163137442472","p0423","link","405",""
"144519033922","p0445","create","",""
"483541916872","p0441","link","431",""
"801233414212","p0440","create","",""
"337999775682","p0443","create","",""
"339608235822","p0444","create","",""
"957978419332","p0442","create","",""
"654561734622","p0439","create","",""
"954613123162","p0434","link","410",""
"279237886222","p0436","link","421",""
"729829201312","p0433","create","",""
"729177143212","p0432","link","428",""
"785743606702","p0437","link","429",""
"740004927782","p0435","link","430",""
